champion_name,wins,losses,kills_assists,deaths,date
Seraphine,5,6,142,73,1616169084923
Kaisa,4,5,122,33,1616169084923
Leona,1,4,78,29,1616169084923
Hecarim,2,4,122,33,1616169084923
Darius,0,3,28,9,1616169084923
Akali,0,3,39,13,1616169084923
Viego,4,3,64,32,1616169084923
Riven,2,2,44,24,1616169084923
Pyke,0,2,43,8,1616169084923
Yasuo,0,2,41,9,1616169084923
Syndra,0,2,24,7,1616169084923
Kled,0,2,17,2,1616169084923
Draven,0,2,12,2,1616169084923
Urgot,0,2,31,4,1616169084923
Rengar,0,2,27,17,1616169084923
Swain,2,2,88,33,1616169084923
Ryze,0,2,28,4,1616169084923
Ezreal,0,2,38,9,1616169084923
Trundle,0,2,26,4,1616169084923
Morgana,1,2,41,6,1616169084923
Ekko,4,2,54,24,1616169084923
Yuumi,1,2,44,8,1616169084923
Nunu,1,2,36,10,1616169084923
JarvanIV,1,3,77,13,1616169084923
Jhin,3,2,74,16,1616169084923
Renekton,3,2,65,36,1616169084923
Lucian,1,2,34,9,1616169084923
Graves,3,2,70,28,1616169084923
Tristana,1,2,25,13,1616169084923
Shaco,1,2,49,16,1616169084923
Vayne,5,2,74,49,1616169084923
Kennen,1,1,16,12,1616169084923
Nasus,1,1,23,12,1616169084923
Ahri,1,1,21,8,1616169084923
Fiddlesticks,1,1,23,11,1616169084923
Lillia,1,1,31,9,1616169084923
Udyr,1,1,25,6,1616169084923
Warwick,1,1,30,11,1616169084923
Teemo,1,1,11,9,1616169084923
MasterYi,1,1,17,10,1616169084923
Blitzcrank,0,1,13,2,1616169084923
Neeko,1,1,40,13,1616169084923
Twitch,1,1,40,12,1616169084923
Sion,0,1,19,4,1616169084923
Kayle,0,1,14,3,1616169084923
Maokai,0,1,1,0,1616169084923
Veigar,0,1,15,4,1616169084923
TwistedFate,0,1,17,6,1616169084923
Ziggs,0,1,16,5,1616169084923
Fiora,0,1,9,5,1616169084923
Malphite,0,1,22,3,1616169084923
Kayn,0,1,17,3,1616169084923
Bard,0,1,19,1,1616169084923
Xayah,0,1,13,2,1616169084923
Olaf,0,1,14,2,1616169084923
Gangplank,1,2,35,7,1616169084923
Qiyana,0,1,38,15,1616169084923
Zed,0,1,13,3,1616169084923
Orianna,1,1,31,10,1616169084923
Samira,0,1,15,2,1616169084923
Sett,1,1,36,10,1616169084923
Illaoi,2,1,26,19,1616169084923
Rakan,1,1,29,11,1616169084923
DrMundo,2,1,47,19,1616169084923
Jinx,2,2,32,18,1616169084923
Yone,2,1,33,17,1616169084923
Fizz,2,1,17,12,1616169084923
Chogath,2,1,30,7,1616169084923
Caitlyn,2,1,28,13,1616169084923
Camille,1,1,14,9,1616169084923
Ashe,1,1,34,12,1616169084923
Lulu,3,2,60,30,1616169084923
Karma,3,1,48,22,1616169084923
Thresh,4,1,44,25,1616169084923
Senna,5,1,68,42,1616169084923
Vladimir,2,0,20,11,1616169084923
MonkeyKing,2,0,14,15,1616169084923
Annie,2,0,18,14,1616169084923
Nocturne,2,0,23,15,1616169084923
Sivir,2,0,32,18,1616169084923
Anivia,3,0,42,20,1616169084923
Aatrox,3,0,32,18,1616169084923
Volibear,3,0,32,24,1616169084923
Kassadin,2,0,13,14,1616169084923
Tryndamere,2,0,12,5,1616169084923
Viktor,1,0,8,9,1616169084923
Zyra,2,0,16,11,1616169084923
Kindred,1,0,8,5,1616169084923
LeeSin,1,0,17,8,1616169084923
Alistar,1,0,16,6,1616169084923
Soraka,1,0,11,3,1616169084923
Karthus,1,0,18,9,1616169084923
Kalista,1,0,11,5,1616169084923
Irelia,1,0,0,2,1616169084923
Katarina,1,0,6,6,1616169084923
Shyvana,1,0,4,5,1616169084923
Pantheon,1,0,21,8,1616169084923
Gnar,1,0,10,6,1616169084923
RekSai,1,0,12,6,1616169084923
AurelionSol,1,0,8,7,1616169084923
Poppy,1,0,12,3,1616169084923
Jax,1,0,0,8,1616169084923
Vi,1,0,9,11,1616169084923
Varus,1,0,9,9,1616169084923
Rammus,1,0,5,5,1616169084923
Corki,1,0,15,15,1616169084923
MissFortune,1,0,21,7,1616169084923
Malzahar,1,0,4,4,1616169084923
Mordekaiser,1,0,6,5,1616169084923
Gragas,1,0,5,3,1616169084923
Aphelios,1,0,14,9,1616169084923
Velkoz,1,0,8,4,1616169084923
Amumu,1,0,2,3,1616169084923
Leblanc,1,0,15,11,1616169084923
Evelynn,1,0,11,8,1616169084923
Rumble,0,1,7,0,1616169084923
