champion_name,wins,losses,kills_assists,deaths,date
Darius,1,5,51,26,1616789183383
Yasuo,2,5,90,35,1616789183383
Viego,2,5,87,34,1616789183383
Vayne,7,4,150,66,1616789183383
Senna,4,4,136,47,1616789183383
Thresh,2,4,110,36,1616789183383
Warwick,1,4,95,30,1616789183383
Karma,2,4,108,30,1616789183383
Leona,1,4,102,20,1616789183383
Amumu,0,3,22,3,1616789183383
Morgana,2,3,71,19,1616789183383
Mordekaiser,2,3,71,28,1616789183383
Twitch,0,3,45,14,1616789183383
Nasus,0,3,18,5,1616789183383
Ahri,0,3,51,15,1616789183383
Jhin,6,3,93,47,1616789183383
Seraphine,1,3,65,25,1616789183383
MasterYi,1,3,42,14,1616789183383
Talon,1,3,48,17,1616789183383
Jinx,1,3,66,28,1616789183383
Kayn,2,3,60,16,1616789183383
Xayah,1,3,70,17,1616789183383
Malphite,3,3,89,28,1616789183383
Fizz,0,2,31,9,1616789183383
Nautilus,1,2,52,16,1616789183383
Rell,0,2,33,3,1616789183383
Nocturne,0,2,38,10,1616789183383
Brand,3,2,84,46,1616789183383
Ashe,0,2,37,9,1616789183383
Zyra,2,2,39,12,1616789183383
Volibear,0,2,37,1,1616789183383
Kindred,0,2,25,6,1616789183383
Illaoi,0,2,13,7,1616789183383
TwistedFate,3,2,66,29,1616789183383
Ekko,1,2,37,8,1616789183383
Lucian,1,2,17,15,1616789183383
Sett,1,2,79,27,1616789183383
Diana,1,2,40,16,1616789183383
Pantheon,2,2,67,24,1616789183383
Tryndamere,0,2,24,11,1616789183383
Veigar,1,2,39,19,1616789183383
Gnar,1,2,37,9,1616789183383
Kaisa,2,2,73,26,1616789183383
Caitlyn,3,2,57,34,1616789183383
Garen,2,2,47,20,1616789183383
Taliyah,1,2,42,14,1616789183383
Poppy,1,2,44,5,1616789183383
Draven,2,2,32,15,1616789183383
Aatrox,2,2,75,20,1616789183383
Viktor,2,2,25,14,1616789183383
Katarina,2,2,34,22,1616789183383
Vladimir,0,1,7,1,1616789183383
Zac,0,1,7,0,1616789183383
Olaf,0,1,10,0,1616789183383
Gangplank,0,1,23,6,1616789183383
Braum,0,1,19,1,1616789183383
Sylas,0,1,27,3,1616789183383
Teemo,0,1,6,11,1616789183383
Syndra,0,1,22,3,1616789183383
Evelynn,0,1,10,2,1616789183383
Maokai,0,1,17,3,1616789183383
Varus,0,1,15,6,1616789183383
Zilean,0,1,8,3,1616789183383
Sivir,0,1,29,5,1616789183383
Quinn,0,1,19,4,1616789183383
Graves,0,1,8,1,1616789183383
Akali,0,1,6,0,1616789183383
Bard,0,1,17,4,1616789183383
Ezreal,0,1,24,3,1616789183383
Sejuani,0,1,20,1,1616789183383
Udyr,0,1,8,5,1616789183383
Nunu,0,1,22,8,1616789183383
Fiddlesticks,0,1,14,2,1616789183383
Malzahar,0,1,20,5,1616789183383
Heimerdinger,0,1,23,7,1616789183383
Jayce,0,1,3,1,1616789183383
Lulu,0,1,4,2,1616789183383
Qiyana,0,1,23,10,1616789183383
Alistar,1,1,40,19,1616789183383
Renekton,1,1,17,6,1616789183383
Orianna,1,1,9,8,1616789183383
Jax,3,1,48,17,1616789183383
Hecarim,3,1,79,34,1616789183383
Rammus,2,1,66,23,1616789183383
Janna,2,1,31,20,1616789183383
Zed,2,1,40,21,1616789183383
Urgot,2,1,36,16,1616789183383
Galio,2,1,44,20,1616789183383
Lux,2,1,21,11,1616789183383
Vi,1,1,34,11,1616789183383
Tristana,1,1,28,14,1616789183383
Aphelios,1,1,15,10,1616789183383
Gragas,1,1,16,9,1616789183383
Riven,1,1,13,12,1616789183383
Anivia,1,1,27,9,1616789183383
Samira,0,1,10,0,1616789183383
MissFortune,1,1,30,8,1616789183383
Swain,1,1,41,10,1616789183383
Corki,1,1,28,12,1616789183383
Ivern,1,0,22,6,1616789183383
DrMundo,1,0,6,4,1616789183383
Shen,3,0,51,19,1616789183383
Yone,3,0,16,18,1616789183383
Khazix,3,0,22,12,1616789183383
LeeSin,3,0,26,17,1616789183383
Sion,1,0,29,8,1616789183383
Rakan,1,0,3,7,1616789183383
Fiora,1,0,20,5,1616789183383
Leblanc,1,0,21,7,1616789183383
AurelionSol,1,0,25,10,1616789183383
Annie,1,0,7,9,1616789183383
Kassadin,1,0,3,3,1616789183383
Yuumi,1,0,2,1,1616789183383
Chogath,1,0,2,7,1616789183383
Nami,1,0,21,7,1616789183383
Xerath,1,0,9,7,1616789183383
Karthus,1,0,1,2,1616789183383
Singed,1,0,9,8,1616789183383
Shaco,1,0,20,12,1616789183383
Ornn,1,0,20,8,1616789183383
