champion_name,win_rates,wins,losses,date
Anivia,100.0,1,0,2021-02-24 10:47:44.693486
Garen,100.0,1,0,2021-02-24 10:47:44.693486
MasterYi,100.0,1,0,2021-02-24 10:47:44.693486
,75.0,3,1,2021-02-24 10:47:44.693486
Leona,66.67,4,2,2021-02-24 10:47:44.693486
Shaco,66.67,2,1,2021-02-24 10:47:44.693486
Camille,60.0,3,2,2021-02-24 10:47:44.693486
Lucian,50.0,1,1,2021-02-24 10:47:44.693486
Yuumi,50.0,2,2,2021-02-24 10:47:44.693486
Irelia,44.19,19,24,2021-02-24 10:47:44.693486
Nautilus,0.0,0,1,2021-02-24 10:47:44.693486
