champion_name,win_rates,wins,losses,kills_assists,deaths,date
Jinx,0.0,0,1,14,4,1614980417049
Tryndamere,0.0,0,1,13,5,1614980417049
LeeSin,0.0,0,1,15,4,1614980417049
Senna,0.0,0,1,17,4,1614980417049
Ziggs,0.0,0,1,14,1,1614980417049
Lux,0.0,0,1,22,4,1614980417049
Evelynn,0.0,0,1,22,3,1614980417049
Ezreal,0.0,0,2,35,6,1614980417049
Lillia,0.0,0,1,23,7,1614980417049
Yasuo,0.0,0,1,18,5,1614980417049
Urgot,100.0,1,0,2,7,1614980417049
Morgana,100.0,1,0,5,4,1614980417049
Kaisa,100.0,2,0,23,20,1614980417049
Diana,100.0,1,0,5,4,1614980417049
Gragas,100.0,1,0,8,4,1614980417049
Zed,100.0,1,0,31,7,1614980417049
Hecarim,100.0,1,0,19,14,1614980417049
Thresh,50.0,1,1,32,17,1614980417049
Vladimir,100.0,1,0,19,9,1614980417049
Akali,0.0,0,1,4,2,1614980417049
Irelia,0.0,0,1,12,2,1614980417049
Taliyah,0.0,0,1,11,2,1614980417049
