champion_name,wins,losses,kills_assists,deaths,date
Singed,9,16,301,161,1651508631626
Nidalee,9,7,207,91,1651508631626
Sion,4,7,99,81,1651508631626
Bard,6,6,194,69,1651508631626
Nunu,5,6,173,69,1651508631626
TahmKench,2,6,112,52,1651508631626
Poppy,3,5,99,59,1651508631626
Thresh,2,5,111,42,1651508631626
Corki,4,5,105,50,1651508631626
Ezreal,4,5,102,51,1651508631626
Garen,1,5,48,33,1651508631626
Nocturne,1,5,83,38,1651508631626
Rell,7,5,252,88,1651508631626
Renata,8,5,182,75,1651508631626
Shaco,3,4,89,63,1651508631626
Quinn,3,4,137,64,1651508631626
Ivern,1,4,66,30,1651508631626
AurelionSol,4,4,132,47,1651508631626
Ziggs,4,4,152,61,1651508631626
Seraphine,5,4,189,58,1651508631626
Senna,5,4,156,75,1651508631626
Rumble,5,4,151,60,1651508631626
Ornn,6,4,145,47,1651508631626
Kled,2,3,59,26,1651508631626
Maokai,4,3,91,55,1651508631626
Vex,0,3,63,18,1651508631626
Blitzcrank,0,3,38,30,1651508631626
FiddleSticks,1,3,49,25,1651508631626
Ashe,3,3,112,44,1651508631626
Malzahar,0,2,12,14,1651508631626
Zeri,2,2,28,18,1651508631626
Rammus,0,2,27,14,1651508631626
Rakan,0,2,25,8,1651508631626
Swain,0,2,21,11,1651508631626
Neeko,1,2,41,24,1651508631626
Vi,1,2,57,18,1651508631626
Pantheon,0,2,16,13,1651508631626
Shen,1,2,51,13,1651508631626
Volibear,3,2,59,15,1651508631626
Skarner,3,2,75,21,1651508631626
Janna,1,2,48,16,1651508631626
Zyra,4,2,113,53,1651508631626
Velkoz,4,2,95,24,1651508631626
Lillia,4,2,102,39,1651508631626
Galio,6,2,142,49,1651508631626
Kindred,1,1,41,20,1651508631626
XinZhao,0,1,3,9,1651508631626
RekSai,0,1,25,11,1651508631626
Nasus,0,1,29,4,1651508631626
Kaisa,0,1,3,9,1651508631626
Malphite,0,1,5,3,1651508631626
Zilean,0,1,23,9,1651508631626
Viktor,0,1,0,6,1651508631626
Aatrox,0,1,11,6,1651508631626
Olaf,0,1,15,5,1651508631626
Zoe,0,1,7,7,1651508631626
Tryndamere,0,1,9,6,1651508631626
Lissandra,0,1,15,8,1651508631626
Kennen,0,1,0,4,1651508631626
JarvanIV,1,1,45,11,1651508631626
DrMundo,0,1,6,5,1651508631626
Lulu,0,1,13,9,1651508631626
Alistar,0,1,7,7,1651508631626
Leona,0,1,7,11,1651508631626
Graves,0,1,8,9,1651508631626
Trundle,0,1,8,5,1651508631626
Hecarim,0,1,11,7,1651508631626
Caitlyn,0,1,14,9,1651508631626
MonkeyKing,1,1,22,13,1651508631626
Ekko,1,1,37,10,1651508631626
Orianna,0,1,20,7,1651508631626
Tristana,1,1,31,14,1651508631626
Xayah,2,1,50,17,1651508631626
LeeSin,1,1,29,13,1651508631626
Renekton,1,1,20,10,1651508631626
Elise,2,1,45,20,1651508631626
Kayn,2,1,47,13,1651508631626
Nami,2,1,56,12,1651508631626
Khazix,3,1,49,14,1651508631626
Soraka,1,1,29,13,1651508631626
Pyke,1,1,33,13,1651508631626
Gnar,3,1,51,22,1651508631626
Kassadin,1,1,19,7,1651508631626
Gragas,1,1,24,10,1651508631626
Taliyah,3,1,76,21,1651508631626
Nautilus,3,1,71,38,1651508631626
Leblanc,1,1,25,10,1651508631626
Shyvana,2,0,17,3,1651508631626
Sylas,3,0,24,5,1651508631626
Sett,3,0,36,18,1651508631626
Varus,3,0,53,20,1651508631626
Sejuani,4,0,89,10,1651508631626
Morgana,2,0,38,5,1651508631626
Diana,1,0,16,3,1651508631626
Heimerdinger,2,0,12,4,1651508631626
Jhin,2,0,32,5,1651508631626
KogMaw,1,0,9,5,1651508631626
Sona,1,0,14,3,1651508631626
Fizz,1,0,15,1,1651508631626
Evelynn,1,0,12,3,1651508631626
Taric,1,0,24,3,1651508631626
Zac,1,0,14,1,1651508631626
MissFortune,1,0,15,6,1651508631626
Jayce,1,0,13,5,1651508631626
Xerath,1,0,27,6,1651508631626
Warwick,1,0,34,6,1651508631626
Karthus,1,0,17,6,1651508631626
Brand,1,0,21,6,1651508631626
Braum,1,0,17,2,1651508631626
